title,genres,hit-list,recovery_rate,proCm1,proCm2,WriterName,DirectorName,EditorName,main_lead,co_lead1
Titanic,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 53, ""name"": ""Thriller""}]",5,922.517094,Paramount Pictures,Twentieth Century Fox Film Corporation,Annie Townsend,James Cameron,Conrad Buff IV,Kate Winslet,Leonardo DiCaprio
Captain America: Civil War,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",3,461.321798,Studio Babelsberg,Marvel Studios,Scheryl W Brown,Joe Russo,Jeffrey Ford,Chris Evans,Robert Downey Jr.
Battleship,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",2,144.98827033492822,Universal Pictures,Hasbro,Jeremy Stewart,Peter Berg,Billy Rich,Taylor Kitsch,Alexander Skarsgård
Jurassic World,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",5,1009.0192066666667,Universal Studios,Amblin Entertainment,Matt Thompson,Colin Trevorrow,Kevin Stitt,Chris Pratt,Bryce Dallas Howard
Skyfall,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 53, ""name"": ""Thriller""}]",4,554.2805065,Columbia Pictures,,Sian Milne,Sam Mendes,Stuart Baird,Daniel Craig,Judi Dench
Spider-Man 2,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",3,391.8831705,Columbia Pictures,Laura Ziskin Productions,Carey Smith,Sam Raimi,Bob Murawski,Tobey Maguire,Kirsten Dunst
Iron Man 3,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",4,607.7199969999999,Marvel Studios,,Luke Kalteux,Shane Black,Peter S. Elliot,Robert Downey Jr.,Gwyneth Paltrow
Alice in Wonderland,"[{""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 12, ""name"": ""Adventure""}]",4,512.745555,Walt Disney Pictures,Team Todd,Ian Blum,Tim Burton,Chris Lebenzon,Mia Wasikowska,Johnny Depp
X-Men: The Last Stand,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",2,218.74264523809526,Ingenious Film Partners,Twentieth Century Fox Film Corporation,Luca Marco Paracels,Brett Ratner,Julia Wong,Hugh Jackman,Halle Berry
Monsters University,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",3,371.7798035,Walt Disney Pictures,Pixar Animation Studios,Peter Doctor,Dan Scanlon,,Billy Crystal,John Goodman
Transformers: Revenge of the Fallen,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",4,557.5314853333333,Paramount Pictures,DreamWorks SKG,Brian Avery,Michael Bay,Tom Muldoon,Shia LaBeouf,Megan Fox
Transformers: Age of Extinction,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",4,519.7167128571429,Paramount Pictures,Amblin Entertainment,Luca Marco Paracels,Michael Bay,Roger Barton,Mark Wahlberg,Stanley Tucci
Oz: The Great and Powerful,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 10751, ""name"": ""Family""}]",2,245.934274,Walt Disney Pictures,Roth Films,Jatinder Singh Manhas,Sam Raimi,Bob Murawski,James Franco,Mila Kunis
The Amazing Spider-Man 2,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",3,352.85871599999996,Columbia Pictures,Marvel Enterprises,Jessica Wolff,Marc Webb,Pietro Scalia,Andrew Garfield,Emma Stone
TRON: Legacy,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",2,235.3310370588235,Walt Disney Pictures,LivePlanet,Luca Marco Paracels,Joseph Kosinski,,Garrett Hedlund,Jeff Bridges
Cars 2,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}]",3,279.926198,Walt Disney Pictures,Pixar Animation Studios,Lucy Laliberte,Brad Lewis,Stephen Schaffer,Owen Wilson,Larry the Cable Guy
Green Lantern,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}]",2,109.925586,De Line Pictures,Warner Bros.,Scheryl W Brown,Martin Campbell,,Ryan Reynolds,Blake Lively
Toy Story 3,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 35, ""name"": ""Comedy""}]",4,533.4848515,Walt Disney Pictures,Pixar Animation Studios,Terry Claborn,Lee Unkrich,Ken Schretzmann,Tom Hanks,Tim Allen
Terminator Salvation,"[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",2,185.6765005,Columbia Pictures,The Halcyon Company,Carole A. Kenneally,McG,Conrad Buff IV,Christian Bale,Sam Worthington
Furious 7,"[{""id"": 28, ""name"": ""Action""}]",4,792.7628210526316,Universal Pictures,Original Film,Daniel Barrett,James Wan,Dylan Highsmith,Vin Diesel,Paul Walker
World War Z,"[{""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 27, ""name"": ""Horror""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",3,265.9325,Paramount Pictures,GK Films,Matt Johnson,Marc Forster,Matt Chesse,Brad Pitt,Mireille Enos
X-Men: Days of Future Past,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}]",3,299.14511,Twentieth Century Fox Film Corporation,Donners' Company,Mirela Rupic,Bryan Singer,John Ottman,Hugh Jackman,James McAvoy
Star Trek Into Darkness,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",2,245.98170842105262,Paramount Pictures,Skydance Productions,Karen Iverson,J.J. Abrams,Mary Jo Markey,Chris Pine,Zachary Quinto
Jack the Giant Slayer,"[{""id"": 28, ""name"": ""Action""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}]",2,101.37825794871796,New Line Cinema,Original Film,Lavinia Waters,Bryan Singer,John Ottman,Nicholas Hoult,Eleanor Tomlinson
The Great Gatsby,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",3,334.3242085714285,Village Roadshow Pictures,Bazmark Films,Damien Drew,Baz Luhrmann,,Leonardo DiCaprio,Tobey Maguire
Prince of Persia: The Sands of Time,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}, {""id"": 10749, ""name"": ""Romance""}]",2,223.43642866666667,Walt Disney Pictures,Jerry Bruckheimer Films,Peter Lindsay,Mike Newell,Martin Walsh,Jake Gyllenhaal,Gemma Arterton
Pacific Rim,"[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 12, ""name"": ""Adventure""}]",2,226.4460588888889,Legendary Pictures,Warner Bros.,Erik Classen,Guillermo del Toro,John Gilroy,Idris Elba,Charlie Hunnam
Transformers: Dark of the Moon,"[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 12, ""name"": ""Adventure""}]",4,576.2805107692308,Paramount Pictures,Di Bonaventura Pictures,Brian Avery,Michael Bay,Joel Negron,Shia LaBeouf,John Malkovich
Indiana Jones and the Kingdom of the Crystal Skull,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}]",3,425.2086664864865,Lucasfilm,Paramount Pictures,Clay Cullen,Steven Spielberg,Michael Kahn,Harrison Ford,Cate Blanchett
The Good Dinosaur,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",2,189.67208399999998,Walt Disney Pictures,Pixar Animation Studios,Meg LeFauve,Peter Sohn,,Raymond Ochoa,Jack Bright
Brave,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 28, ""name"": ""Action""}, {""id"": 14, ""name"": ""Fantasy""}]",3,291.3422740540541,Walt Disney Pictures,Pixar Animation Studios,Laura Leganza Reynolds,Steve Purcell,,Kelly Macdonald,Julie Walters
Star Trek Beyond,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",2,185.66044108108107,Paramount Pictures,Bad Robot,Josh Henson,Justin Lin,Dylan Highsmith,Chris Pine,Zachary Quinto
WALL·E,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",3,289.61769999999996,Walt Disney Pictures,Pixar Animation Studios,Terry Claborn,Andrew Stanton,Stephen Schaffer,Ben Burtt,Elissa Knight
Rush Hour 3,"[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]",2,184.30159500000002,New Line Cinema,,John Bruno,Brett Ratner,Don Zimmerman,Chris Tucker,Jackie Chan
2012,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",3,384.8267975,Columbia Pictures,Centropolis Entertainment,Sabine Varnes,Roland Emmerich,Peter S. Elliot,John Cusack,Amanda Peet
A Christmas Carol,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 18, ""name"": ""Drama""}]",2,162.6169315,Walt Disney,ImageMovers,Yuhon Ng,Robert Zemeckis,,Gary Oldman,Jim Carrey
Jupiter Ascending,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",2,104.53847719536687,Village Roadshow Pictures,Dune Entertainment,Ben Wilson,Lana Wachowski,Alexander Berner,Mila Kunis,Channing Tatum
The Legend of Tarzan,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",2,198.19058944444444,Village Roadshow Pictures,Dark Horse Entertainment,Mark S. Wright,David Yates,Mark Day,Alexander Skarsgård,Margot Robbie
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","[{""id"": 12, ""name"": ""Adventure""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}]",3,416.00386499999996,Walt Disney,Walden Media,Ian Blum,Andrew Adamson,Jim May,William Moseley,Anna Popplewell
X-Men: Apocalypse,"[{""id"": 878, ""name"": ""Science Fiction""}]",3,305.58134101123596,Twentieth Century Fox Film Corporation,Donners' Company,Catherine Lavoie,Bryan Singer,John Ottman,James McAvoy,Michael Fassbender
The Dark Knight,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]",4,543.0045643243243,DC Comics,Legendary Pictures,Conor O'Sullivan,Christopher Nolan,Lee Smith,Christian Bale,Heath Ledger
Up,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 12, ""name"": ""Adventure""}]",3,420.0566182857143,Pixar Animation Studios,,Freesia Pearson,Pete Docter,Kevin Nolting,Ed Asner,Christopher Plummer
Monsters vs Aliens,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",2,218.00563999999997,DreamWorks Animation,,Michael Isaak,Rob Letterman,,Seth Rogen,Reese Witherspoon
Iron Man,"[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 12, ""name"": ""Adventure""}]",3,417.98158714285717,Marvel Studios,,Andy Hass,Jon Favreau,Dan Lebental,Robert Downey Jr.,Terrence Howard
Hugo,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10751, ""name"": ""Family""}]",2,109.27656470588236,Paramount Pictures,Infinitum Nihil,Suzanne Stokes-Munton,Martin Scorsese,Thelma Schoonmaker,Ben Kingsley,Sacha Baron Cohen
Wild Wild West,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 37, ""name"": ""Western""}]",2,130.64981235294118,"Todman, Simon, LeMasters Productions",Warner Bros.,Alex Madison,Barry Sonnenfeld,Jim Miller,Will Smith,Kevin Kline
The Mummy: Tomb of the Dragon Emperor,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 14, ""name"": ""Fantasy""}]",3,276.6404406896552,Universal Pictures,China Film Co-Production Corporation,Lorette Leblanc,Rob Cohen,,Brendan Fraser,Jet Li
Suicide Squad,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}]",3,425.7142857142857,DC Comics,Dune Entertainment,Colin Akoon,David Ayer,John Gilroy,Will Smith,Margot Robbie
Evan Almighty,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]",1,98.85714285714286,Columbia Pictures,Universal Pictures,Alexander Fernandes,Tom Shadyac,Scott Hill,Steve Carell,Lauren Graham
Edge of Tomorrow,"[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",2,208.16924494382022,Village Roadshow Pictures,Warner Bros.,Andrew Palmer,Doug Liman,James Herbert,Tom Cruise,Emily Blunt
Waterworld,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}]",2,150.98183999999998,Universal Pictures,Gordon Company,David Fulton,Kevin Reynolds,Peter Boyle,Kevin Costner,Chaim Girafi
G.I. Joe: The Rise of Cobra,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}]",2,172.8394382857143,Paramount Pictures,Spyglass Entertainment,Jeremy Stewart,Stephen Sommers,,Dennis Quaid,Channing Tatum
Inside Out,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",3,490.063528,Walt Disney Pictures,Pixar Animation Studios,Bert Berry,Pete Docter,Kevin Nolting,Amy Poehler,Phyllis Smith
The Jungle Book,"[{""id"": 10751, ""name"": ""Family""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 14, ""name"": ""Fantasy""}]",4,552.3146285714286,Walt Disney Pictures,Walt Disney Studios Motion Pictures,John Bartnicki,Jon Favreau,Mark Livolsi,Neel Sethi,Bill Murray
Iron Man 2,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",3,311.96666550000003,Marvel Studios,,Travis Tohill,Jon Favreau,Dan Lebental,Robert Downey Jr.,Gwyneth Paltrow
Snow White and the Huntsman,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 18, ""name"": ""Drama""}]",2,233.29411764705884,Universal Pictures,Roth Films,Daniel Boccoli,Rupert Sanders,Neil Smith,Kristen Stewart,Charlize Theron
Maleficent,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 10749, ""name"": ""Romance""}]",3,421.4109916666667,Walt Disney Pictures,Walt Disney Studios Motion Pictures,Dhumal Sagar,Robert Stromberg,,Angelina Jolie,Elle Fanning
Dawn of the Planet of the Apes,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",3,418.0262152941176,Ingenious Media,Chernin Entertainment,Wendy Williams,Matt Reeves,Stan Salfas,Andy Serkis,Jason Clarke
47 Ronin,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",1,86.26427142857142,Mid Atlantic Films,Stuber Productions,Géza Kovács,Carl Rinsch,,Keanu Reeves,Hiroyuki Sanada
Captain America: The Winter Soldier,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",3,420.4509247058824,Marvel Studios,,Wayne Jaworskyj,Joe Russo,Matthew Schmidt,Chris Evans,Samuel L. Jackson
Shrek Forever After,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",3,456.12173757575755,DreamWorks Animation,,Josh LaBrot,Mike Mitchell,,Mike Myers,Eddie Murphy
Tomorrowland,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 878, ""name"": ""Science Fiction""}]",2,110.08122210526317,Walt Disney Pictures,Babieka,Mariela Zapata,Brad Bird,Walter Murch,Britt Robertson,George Clooney
Big Hero 6,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}]",3,395.21542,Walt Disney Pictures,Walt Disney Animation Studios,Eliot Milbourn,Don Hall,Tim Mertens,Scott Adsit,Ryan Potter
Wreck-It Ralph,"[{""id"": 10751, ""name"": ""Family""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 12, ""name"": ""Adventure""}]",3,285.58962969696967,Walt Disney Animation Studios,,Eliot Milbourn,Rich Moore,William J. Caparella,John C. Reilly,Sarah Silverman
The Polar Express,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}]",2,185.37923030303028,Golden Mean,Playtone,Martin L'Heureux,Robert Zemeckis,R. Orlando Duenas,Tom Hanks,Michael Jeter
